id,title,place,description,siteUrl,favoritesCount,commentsCount,publicationDate
51427,Звезда «Гарри Поттера» сыграет злодейку в «Бриджертонах»,null,<p>Съёмки нового сезона уже начались.</p>,https://kudago.com/all/news/zvezda-garri-pottera-syigraet/,0,0,2024-09-18
51426,На Борисовских прудах собака полчаса ловила леща,null,<p>Рыбалка собрала толпу зрителей.</p>,https://kudago.com/msk/news/na-borisovskih-prudah-sobaka/,0,0,2024-09-18
51424,В Москве впервые в истории заметили красноголового королька,null,<p>Столичная жара пришлась ему по вкусу.</p>,https://kudago.com/msk/news/v-moskve-vpervyie-v-istorii/,0,0,2024-09-18
51423,Олимпийское малое велокольцо снова открыто для тренировок,null,<p>Навигацию ещё доделывают. </p>,https://kudago.com/msk/news/olimpijskoe-maloe-velokoltso/,0,0,2024-09-18
51421,На востоке Москвы приступили к реабилитации Ивановских прудов,null,<p>Здесь появятся зелёные зоны и места для рыбалки.</p>,https://kudago.com/msk/news/na-vostoke-moskvyi-pristupili-k/,0,0,2024-09-18
51420,Погода в Москве на 18 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-18-sentyabrya-18-09-2024/,0,0,2024-09-18
51419,Правила игры: рецензия на фильм «Виды доброты» Йоргоса Лантимоса,null,<p>Сейчас на больших экранах и в сети можно увидеть фильм Йоргоса Лантимоса «Виды доброты», который принёс Джесси Племонсу награду за лучшую мужскую роль на Каннском фестивале. Чем хорош новый фильм популярного режиссёра и почему он совсем не похож на «Бедных-несчастных», читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>,https://kudago.com/all/news/retsenziya-na-film-vidyi-dobrotyi/,0,0,2024-09-17
51418,В Москве может не наступить золотая осень,null,<p>Не хватает дождей.</p>,https://kudago.com/msk/news/v-moskve-mozhet-ne-nastupit/,0,0,2024-09-17
51417,Стало известно, как продвигается реконструкция «Олимпийского»,null,<p>Комплекс заметно модернизируют.</p>,https://kudago.com/msk/news/stalo-izvestno-kak-prodvigaetsya/,0,0,2024-09-17
51416,Стало известно, когда выйдет сериал о Гарри Поттере,null,<p>Сейчас идёт работа над сценарием.</p>,https://kudago.com/all/news/serial-o-garri-pottere-obeschayut-v/,0,0,2024-09-17
51415,В Подмосковье ограничат трудовую деятельность мигрантов,null,<p>С 2025-го им запретят работать в некоторых сферах.</p>,https://kudago.com/msk/news/v-podmoskove-ogranichat-trudovuyu/,0,0,2024-09-17
51414,В Раменском продают дом-слон,null,<p>Стоимость архитектурного шедевра — 74 000 000 рублей.</p>,https://kudago.com/msk/news/v-ramenskom-prodayut-dom-slon/,0,0,2024-09-17
51413,Кинолог назвал самые популярные осенние имена для собак,null,<p>Лидируют Ветер, Осень и Дождь.</p>,https://kudago.com/all/news/kinolog-nazval-samyie-populyarnyie/,0,0,2024-09-17
51410,Был объявлен шорт-лист Букеровской премии,null,<p>Победитель станет известен в середине ноября.</p>,https://kudago.com/all/news/short-list-bukerovskoj-premii/,0,0,2024-09-17
51408,«Эмили в Париже» получила пятый сезон,null,<p>В нём действие переместится в Рим.</p>,https://kudago.com/all/news/emili-v-parizhe-poluchila-pyatyij/,0,0,2024-09-17
51409,Новая книга Виктора Пелевина получила название «Круть»,null,<p>Действие детективного романа разворачивается в уголовном мире.</p>,https://kudago.com/all/news/novaya-kniga-viktora-pelevina-nazyvaetsya-krut/,0,0,2024-09-17
51407,На московских ярмарках появились брокколини, априум и романеско,null,<p>Гибридные овощи обладают интересным вкусом.</p>,https://kudago.com/msk/news/na-moskovskih-yarmarkah-poyavilis/,0,0,2024-09-17
51406,Погода в Москве на 17 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-17-sentyabrya-17-09-2024/,0,0,2024-09-17
51404,Вышел дебютный клип One Fish Orchestra «Пинабалерина»,null,<p>Видео One Fish Orchestra выполнено в необычном формате кинотанца.</p>,https://kudago.com/all/news/pinabalerina---kinotanets-na/,2,0,2024-09-16
51405,Эксперты выяснили, сколько денег нужно россиянам для счастья,null,<p>Самые высокие запросы у жителей Москвы и Владивостока.</p>,https://kudago.com/all/news/ekspertyi-vyiyasnili-skolko-deneg/,0,0,2024-09-16
51403,В аэропорту Шереметьево задержали мужчину с радиоактивными часами,null,<p>Он купил их на барахолке.</p>,https://kudago.com/msk/news/v-aeroportu-sheremetevo-16-09-2024/,0,0,2024-09-16
51401,Старая (не)добрая комедия: рецензия на фильм «Ненасытные люди»,null,<p>Потси Пончироли, режиссёр фильма «Старый Генри», пробует заигрывать со смешением жанров. Поэтому пытается вместить в один флакон чёрную комедию с отчаянной драмой. А ещё дотянуться до почерка всем известных режиссёров — например, <a href="https://kudago.com/all/quiz/kto-tyi-iz-geroev-kventina/" target="_blank" title="Тест: кто вы из вселенной Тарантино?">Тарантино</a> или братьев Коэн. Но ни того, ни другого, кажется, не получается. Однако, возможно, кого-то порадует возвращение Джозефа Гордона-Левитта на большие экраны. Каким в итоге получился фильм «Ненасытные люди», читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>. </p>,https://kudago.com/all/news/retsenziya-na-film-nenasyitnyie/,0,0,2024-09-16
51400,Умерла самая старая кошка в мире,null,<p>Она жила в Великобритании.</p>,https://kudago.com/all/news/umerla-samaya-staraya-koshka-v-mire/,0,0,2024-09-16
51398,Названы лауреаты премии «Эмми»,null,<p>Лучшим стал «Сёгун».</p>,https://kudago.com/all/news/laureaty-premii-emmi/,0,0,2024-09-16
51399,В Москве тестируют динамический тариф на парковку,null,<p>Цена растёт по мере заполнения стоянки.</p>,https://kudago.com/msk/news/v-moskve-testiruyut-dinamicheskij/,0,0,2024-09-16
51397,В Парке Горького установили автоматы для сбора бутылок и банок,null,<p>В обмен можно получить бонусы от партнёров акции.</p>,https://kudago.com/msk/news/v-parke-gorkogo-ustanovili/,0,0,2024-09-16
51395,В Московском зоопарке поселилась гуанако,null,<p>Самка по имени Молли уже вовсю знакомится с соседями.</p>,https://kudago.com/msk/news/v-moskovskom-zooparke-poselilas-guanako/,0,0,2024-09-16
51391,Оранжерее в Покровском-Стрешневе вернули шпиль,null,<p>Деталь восстанавливали по старым фото.</p>,https://kudago.com/msk/news/oranzheree-v-pokrovskom-streshneve/,0,0,2024-09-16
51390,Группа «Сироткин» запишет совместный трек с начинающим артистом,null,<p>Выбрать счастливчика поможет ряд заданий.</p>,https://kudago.com/all/news/gruppa-sirotkin-zapishet/,0,0,2024-09-16
51388,В центре Москвы с дерева сняли норку,null,<p>Хищника заметил гуляющий мальчик.</p>,https://kudago.com/msk/news/v-tsentre-moskvyi-s-dereva-snyali-norku/,0,0,2024-09-16
51387,Лето в Москве закончится 22 сентября,null,<p>Ещё через неделю наступит золотая осень.</p>,https://kudago.com/msk/news/leto-v-moskve-konchitsya-22/,0,0,2024-09-16
51386,Погода в Москве на 16 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-16-sentyabrya-16-09-2024/,0,0,2024-09-16
51385,Погода в Москве на 15 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-15-sentyabrya-15-09-2024/,0,0,2024-09-15
51384,Погода в Москве на 14 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-14-sentyabrya-14-09-2024/,0,0,2024-09-14
51382,Стали известны лауреаты Шнобелевской премии,null,<p>Её вручают в 34-й раз.</p>,https://kudago.com/all/news/stali-izvestnyi-laureatyi/,0,0,2024-09-13
51380,Опубликован тизер шоу про юного Декстера,null,<p>Премьера — зимой.</p>,https://kudago.com/all/news/opublikovan-tizer-shou-pro-yunogo/,0,0,2024-09-13
51383,Худеющий кот Крошик хотел сбежать из реабилитационного центра,null,<p>Но застрял.</p>,https://kudago.com/all/news/hudeyuschij-kot-kroshik-hotel/,0,0,2024-09-13
51379,Август 2024 года стал самым жарким в истории наблюдений,null,<p>Синоптики предсказывают новые температурные рекорды.</p>,https://kudago.com/all/news/avgust-2024-goda-stal-samyim/,0,0,2024-09-13
51376,Над Подмосковьем и Ленобластью наблюдали северное сияние,null,<p>В выходные есть шанс на повторение небесного шоу.</p>,https://kudago.com/all/news/nad-podmoskovem-i-lenoblastyu/,0,0,2024-09-13
51374,Погода в Москве на 13 сентября 2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-13-sentyabrya-13-09-2024/,0,0,2024-09-13
51373,Вода в водоёмах Подмосковья остыла,null,<p>Купальный сезон завершён.</p>,https://kudago.com/msk/news/voda-v-vodoyomah-podmoskovya-ostyla/,0,0,2024-09-12
51372,В Новгороде нашли берестяную грамоту с пожеланием удавиться,null,<p>Сообщению около 900 лет.</p>,https://kudago.com/all/news/v-novgorode-nashli-berestyanuyu/,0,0,2024-09-12
51370,Блендер, ёлочные украшения и обед забыли летом пассажиры ЦППК,null,<p>Иногда пропавшие вещи возвращают всем поездом.</p>,https://kudago.com/msk/news/blender-yolochnyie-ukrasheniya-i/,0,0,2024-09-12
51369,У Церкви Николы Заяицкого отреставрируют фасады,null,<p>Её не ремонтировали три десятка лет.</p>,https://kudago.com/msk/news/u-tserkvi-nikolyi-zayaitskogo/,0,0,2024-09-12
51367,Майкл Б. Джордан снимет свою версию «Аферы Томаса Крауна»,null,<p>И исполнит в ней главную роль.</p>,https://kudago.com/all/news/majkl-b-dzhordan-snimet-svoyu/,0,0,2024-09-12
51366,В Москве началась вторая фаза активности клещей,null,<p>Опасный сезон продлится до ноября.</p>,https://kudago.com/msk/news/v-moskve-nachalas-vtoraya-faza/,0,0,2024-09-12
